Player,MPG,PPG,RPG,APG,PER,STL_PG,BLK_PG,WS/48
Dewayne Dedmon,17.5,5.1,6.5,0.6,16,0.5,0.8,0.188
Tarik Black,16.3,5.7,5.1,0.6,15,0.4,0.7,0.105
J.J. Barea,22,10.9,2.4,5.5,17.2,0.4,0,0.08
Buddy Hield,29.1,15.1,4.1,1.8,14.9,0.8,0.1,0.053
Willie Reed,14.5,5.3,4.7,0.4,17.1,0.3,0.7,0.168
Kyle Korver,24.5,10.7,2.8,1,13.5,0.3,0.2,0.114
Jerian Grant,16.3,5.9,1.8,1.9,13.1,0.7,0.1,0.118
Aron Baynes,15.5,4.9,4.4,0.4,13.1,0.2,0.5,0.123
Jusuf Nurkic,17.9,8,5.8,1.3,15,0.6,0.8,0.034
Randy Foye,18.6,5.2,2.2,2,7.3,0.5,0.1,0.006
J.R. Smith,29,8.6,2.8,1.5,8.1,1,0.3,0.034
Dorian Finney-Smith,20.3,4.3,2.7,0.8,7.7,0.6,0.3,0.041
Alan Williams,15.1,7.4,6.2,0.5,19.5,0.6,0.7,0.142
Lou Williams,25.7,14.9,3,2.4,15.4,0.7,0.4,0.096
Stanley Johnson,17.8,4.4,2.5,1.4,7.2,0.7,0.3,0.012
Boris Diaw,17.6,4.6,2.2,2.3,9,0.2,0.1,0.041
Taurean Waller-Prince,16.6,5.7,2.7,0.9,9.8,0.7,0.5,0.054
Bojan Bogdanovic,23.1,12.7,3.1,0.8,14.7,0.4,0.2,0.102
Justin Anderson,13.9,6.5,2.9,0.6,14.7,0.5,0.3,0.067
Serge Ibaka,31,14.2,6.8,0.7,13.8,0.3,1.4,0.085
Noah Vonleh,17.1,4.4,5.2,0.4,10.8,0.4,0.4,0.069
Jodie Meeks,20.5,9.1,2.1,1.3,13.1,0.9,0.1,0.073
Luke Babbitt,15.7,4.8,2.1,0.5,8.4,0.3,0.2,0.082
Aaron Brooks,13.8,5,1.1,1.9,9.5,0.4,0.1,0.016
Mario Hezonja,14.8,4.9,2.2,1,7.2,0.5,0.2,-0.034
Cristiano Felicio,15.8,4.8,4.7,0.6,15.2,0.4,0.2,0.157
David West,12.6,4.6,3,2.2,16.6,0.6,0.7,0.148
Ramon Sessions,16.2,6.2,1.5,2.6,12.3,0.5,0.1,0.054
Jason Terry,18.4,4.1,1.4,1.3,9,0.6,0.3,0.075
Juan Hernangomez,13.6,4.9,3,0.5,13.3,0.5,0.2,0.103
Kyle Korver,27.9,9.5,2.8,2.3,10.9,0.7,0.4,0.088
Jusuf Nurkic,29.2,15.2,10.3,3.1,21.1,1.3,1.9,0.116
Davis Bertans,12.1,4.5,1.5,0.7,12.9,0.3,0.4,0.135
Jonas Jerebko,15.8,3.8,3.5,0.9,9.3,0.3,0.2,0.081
Terrence Ross,31.2,12.5,2.8,1.8,11.1,1.4,0.5,0.037
Michael Carter-Williams,18.8,6.6,3.4,2.5,9.9,0.8,0.5,0.013
Kris Dunn,17.1,3.8,2.1,2.4,8.1,1,0.5,0.004
Brandon Bass,11.1,5.6,2.5,0.4,19.7,0.3,0.2,0.186
Denzel Valentine,17.1,5.1,2.6,1.1,7.3,0.5,0.1,0.031
Skal Labissiere,18.5,8.8,4.9,0.8,16.8,0.5,0.4,0.099
Joffrey Lauvergne,14.8,5.7,3.7,1,12.9,0.4,0.1,0.091
Trey Burke,12.3,5,0.8,1.8,10.8,0.2,0.1,0.036
Ivica Zubac,16,7.5,4.2,0.8,17,0.4,0.9,0.086
Alec Burks,15.5,6.7,2.9,0.7,11.6,0.4,0.1,0.056
Patrick Mccaw,15.1,4,1.4,1.1,8.6,0.5,0.2,0.077
C.J. Watson,16.3,4.5,1.4,1.8,9.3,0.7,0,0.041
Rodney Stuckey,17.8,7.2,2.2,2.2,9.5,0.4,0,-0.006
Lance Thomas,21,6,3.1,0.8,8.4,0.5,0.1,0.046
Ersan Ilyasova,24.3,10.4,5.8,1.7,13.5,0.8,0.3,0.106
Jordan Crawford,23.3,14.1,1.8,3,17.6,0.6,0.1,0.102
Darrell Arthur,15.6,6.4,2.7,1,12.8,0.5,0.5,0.081
Gerald Green,11.4,5.6,1.8,0.7,12,0.2,0.1,0.051
Kris Humphries,12.3,4.6,3.7,0.5,13.6,0.3,0.4,0.115
Nerlens Noel,19.4,8.9,5,1,20.8,1.5,0.9,0.184
Spencer Hawes,17.9,7.3,4.2,1.8,14.8,0.4,0.7,0.086
Lucas Nogueira,19.1,4.4,4.3,0.7,15.5,0.9,1.6,0.164
Tyreke Evans,18.2,9.5,3.3,3.5,15.8,0.9,0.2,0.053
Kyle Anderson,14.2,3.4,2.9,1.3,12.5,0.7,0.4,0.127
Mason Plumlee,23.4,9.1,6.4,2.6,16.3,0.7,1.1,0.107
Corey Brewer,15.9,4.2,2,1.1,7.5,0.6,0.2,0.044
Thomas Robinson,11.7,5,4.6,0.6,17.3,0.5,0.2,0.079
Paul Zipser,19.2,5.5,2.8,0.8,6.9,0.3,0.4,0.03
Kevin Seraphin,11.4,4.7,2.9,0.5,14.4,0.1,0.4,0.082
Joakim Noah,22.1,5,8.7,2.2,15.2,0.7,0.8,0.107
Anthony Morrow,15.7,5.8,0.7,0.5,9.2,0.6,0.1,0.069
Pascal Siakam,15.6,4.2,3.4,0.3,11.5,0.5,0.8,0.089
Beno Udrih,14.4,5.8,1.5,3.4,16.1,0.3,0,0.111
Thon Maker,9.9,4,2,0.4,14,0.2,0.5,0.113
Marcus Thornton,17.4,6.6,2.3,1.2,10.4,0.6,0.1,0.042
Shabazz Napier,9.7,4.1,1.2,1.3,13.6,0.6,0,0.06
Roy Hibbert,16,5.2,3.6,0.5,13.5,0.2,1,0.13
Ron Baker,16.5,4.1,1.9,2.1,7.5,0.7,0.2,-0.008
Salah Mejri,12.4,2.9,4.2,0.2,14.8,0.4,0.8,0.159
Chandler Parsons,19.9,6.2,2.5,1.6,7.6,0.6,0.1,0.016
Quincy Acy,15.9,6.5,3.3,0.6,13.1,0.4,0.5,0.102
Tyus Jones,12.9,3.5,1.1,2.6,13.8,0.8,0.1,0.095
Taj Gibson,21.2,9,4.5,0.6,13.8,0.6,0.7,0.076
Alexis Ajinca,15,5.3,4.5,0.3,12.9,0.5,0.6,0.08
Justin Anderson,21.6,8.5,4,1.4,12.8,0.5,0.3,0.084
Ed Davis,17.2,4.3,5.3,0.6,11.5,0.3,0.5,0.104
Brandon Rush,21.9,4.2,2.1,1,6.6,0.5,0.5,0.019
Justise Winslow,34.7,10.9,5.2,3.7,8.2,1.5,0.3,-0.008
Boban Marjanovic,8.4,5.5,3.7,0.3,29.6,0.2,0.3,0.28
Brandan Wright,16,6.8,2.8,0.5,18.5,0.4,0.7,0.177
Nerlens Noel,22,8.5,6.8,0.9,19.9,1,1.1,0.179
Wesley Johnson,11.9,2.7,2.7,0.3,8.4,0.4,0.4,0.051
Luis Scola,12.8,5.1,3.9,1,13.9,0.4,0.1,0.082
Semaj Christon,15.2,2.9,1.4,2,5.7,0.4,0.1,0.006
Isaiah Canaan,15.2,4.6,1.3,0.9,8.1,0.6,0,0.044
Deron Williams,20.3,7.5,1.9,3.6,11.4,0.3,0.3,0.059
Tyler Zeller,10.3,3.5,2.4,0.8,13,0.1,0.4,0.094
Lavoy Allen,14.3,2.9,3.6,0.9,11.6,0.3,0.4,0.093
Ian Mahinmi,17.9,5.6,4.8,0.6,14.1,1.1,0.8,0.123
Hollis Thompson,18.1,5.5,2.7,0.8,9,0.5,0.2,0.06
Tyler Ennis,17.8,7.7,1.2,2.4,14.6,0.9,0.1,0.08
Mike Dunleavy,15.8,5.6,2.3,1,11.9,0.3,0.2,0.12
Derrick Jones,17,5.3,2.5,0.4,12,0.4,0.4,0.098
Kay Felder,9.2,4,1,1.4,11.2,0.4,0.2,0.004
Jarell Martin,13.3,3.9,3.9,0.2,8.7,0.4,0.2,0.054
Jakob Poeltl,11.6,3.1,3.1,0.2,12.2,0.3,0.4,0.125
Tyreke Evans,22.4,11.6,3.6,2.4,14.9,0.9,0.4,0.035
Jordan Mcrae,10.4,4.4,1.1,0.5,9.7,0.2,0.2,0.02
Derrick Williams,17.1,6.2,2.3,0.6,11.1,0.2,0.1,0.086
Tomas Satoransky,12.6,2.7,1.5,1.6,8.5,0.5,0.1,0.041
Delon Wright,16.5,5.6,1.8,2.1,15,1,0.4,0.117
Donatas Motiejunas,14.1,4.4,3,1,9.2,0.5,0.3,0.018
Nicolas Brussino,9.6,2.8,1.8,0.9,10.7,0.3,0.1,0.055
Shawn Long,13,8.2,4.7,0.7,24.1,0.5,0.5,0.195
Derrick Williams,15.1,5.9,2.9,0.6,10.1,0.4,0.2,0.038
Jeff Withey,8.5,2.9,2.4,0.1,18.8,0.3,0.6,0.205
Dragan Bender,13.3,3.4,2.4,0.5,5.3,0.2,0.5,-0.029
Doug Mcdermott,19.5,6.6,2.2,0.6,9.3,0.1,0,0.08
Deandre Liggins,12.3,2.4,1.7,0.9,7.2,0.7,0.2,0.025
Brian Roberts,10.1,3.5,1,1.3,9.8,0.2,0,0.028
Rashad Vaughn,11.2,3.5,1.2,0.6,7.8,0.5,0.2,-0.005
Reggie Bullock,15.1,4.5,2.1,0.9,11.7,0.6,0.1,0.101
P.J. Tucker,25.4,5.8,5.4,1.1,10.4,1.3,0.2,0.099
Kevon Looney,8.4,2.5,2.3,0.5,13.4,0.3,0.3,0.154
James Jones,7.9,2.8,0.8,0.3,11.3,0.1,0.2,0.104
Dejounte Murray,8.5,3.4,1.1,1.3,9.6,0.2,0.2,0.004
Corey Brewer,14.9,5.4,2.2,1.5,13.3,1,0.3,0.047
Omri Casspi,18,5.9,4.1,1.2,11.4,0.5,0,0.043
Darrun Hilliard,9.8,3.3,0.8,0.8,5.9,0.3,0.1,-0.027
Troy Williams,17.4,5.3,1.9,0.8,7.6,1,0.4,0.001
K.J. Mcdaniels,14.7,6.3,2.6,0.5,12.5,0.6,0.5,0.046
Georgios Papagiannis,16.1,5.6,3.9,0.9,12.7,0.1,0.8,0.058
Sasha Vujacic,9.7,3,1.4,1.2,8.6,0.3,0,0.014
David Nwaba,19.9,6,3.1,0.7,12.1,0.7,0.3,0.09
Toney Douglas,16.4,4.9,2.5,2.3,10.6,0.8,0.2,0.06
Anthony Bennett,11.5,5,3.4,0.5,14.7,0.2,0.1,0.09
Matt Barnes,20.5,5.7,4.5,2.3,10.7,0.6,0.5,0.115
Langston Galloway,19.7,6,1.8,1.5,8,0.3,0.1,0.007
Josh Mcroberts,17.3,4.9,3.4,2.3,9.8,0.5,0.2,0.036
Fred Vanvleet,7.9,2.9,1.1,0.9,10.5,0.5,0.1,0.041
Cameron Payne,16,5.3,1.6,2,6.2,0.5,0.3,-0.011
Jonathan Gibson,13.6,6.2,1.3,1.5,9.5,0.5,0,-0.03
Wade Baldwin,12.3,3.2,1.4,1.8,6.4,0.5,0.2,-0.045
Mike Dunleavy,15.9,4.6,2,0.9,7.6,0.3,0.1,0.041
Cole Aldrich,8.6,1.7,2.5,0.4,12.7,0.4,0.4,0.116
Deandre' Bembry,9.8,2.7,1.6,0.7,8.8,0.2,0.1,0.038
Raul Neto,8.7,2.5,0.8,0.8,10.7,0.5,0.1,0.1
Maurice Ndour,10.3,3.1,2,0.3,11.3,0.5,0.3,0.059
Okaro White,13.5,2.8,2.3,0.6,7.5,0.3,0.3,0.066
Pat Connaughton,8.1,2.5,1.3,0.7,11.8,0.2,0.1,0.09
Archie Goodwin,15.3,7.9,2.3,1.9,18.6,0.3,0.3,0.131
Chasson Randle,12.5,5.3,1.5,1.6,12.3,0.3,0.1,0.075
Bryn Forbes,7.9,2.6,0.6,0.6,5.9,0,0,0.014
Joffrey Lauvergne,12.1,4.5,3.4,0.9,11.6,0.3,0,0.025
Kyle Singler,12,2.8,1.5,0.3,5.9,0.2,0.2,0.034
Cheick Diallo,11.7,5.1,4.3,0.2,16.8,0.2,0.4,0.111
Alan Anderson,10.3,2.9,0.8,0.4,5,0.1,0,0.02
Omer Asik,15.5,2.7,5.3,0.5,9.8,0.2,0.3,0.1
Malik Beasley,7.5,3.8,0.8,0.5,13.7,0.3,0,0.057
Spencer Hawes,9,4.4,2.4,1,18.6,0.1,0.2,0.16
Damjan Rudez,7,1.8,0.6,0.4,6.3,0.3,0,0.008
Miles Plumlee,9.7,2.6,1.7,0.6,8,0.3,0.3,0.021
Paul Pierce,11.1,3.2,1.9,0.4,5.7,0.2,0.2,0.015
Brandon Jennings,16.3,3.5,1.9,4.7,9.7,0.7,0,0.025
Jose Calderon,12.2,3.3,1.8,2.1,9.1,0.3,0,0
K.J. Mcdaniels,7.3,2.8,1,0.1,10.2,0.2,0.3,0.058
Malachi Richardson,9,3.6,1,0.5,9.6,0.2,0,0.028
Andrew Bogut,22.4,3,8.4,1.9,9.4,0.5,1,0.055
Jake Layman,7.1,2.2,0.7,0.3,4.9,0.3,0.1,-0.054
Andrew Nicholson,8.3,2.5,1.2,0.3,6.3,0.4,0.2,-0.014
James Young,7.6,2.3,0.9,0.1,10,0.3,0.1,0.076
Joe Young,4.1,2.1,0.5,0.5,11.4,0.1,0,-0.022
Alex Poythress,26.2,10.7,4.8,0.8,13.2,0.5,0.3,0.099
Adreian Payne,7.5,3.5,1.8,0.4,14.4,0.4,0.4,0.086
Marcelo Huertas,10.3,2.7,1,2.3,9.1,0.4,0.1,-0.025
Bobby Brown,4.9,2.5,0.2,0.6,10.8,0,0,0.04
Jose Calderon,14.5,3.6,1.9,2.2,8.7,0.2,0,0.051
Henry Ellenson,7.7,3.2,2.2,0.4,7.5,0.1,0.1,-0.071
Rakeem Christmas,7.6,2,1.9,0.1,10.4,0.1,0.2,0.099
Nicolas Laprovittola,9.7,3.3,0.6,1.6,8.4,0.2,0.1,0.044
Tyler Ennis,6.3,1.9,0.6,1.1,4,0.2,0,-0.061
Deyonta Davis,6.6,1.6,1.7,0.1,10.6,0.1,0.5,0.097
Troy Williams,23.2,9.7,4,1,12.8,0.5,0.2,0.116
Lance Stephenson,27,9.7,3,4.8,10.3,0.3,0.2,0.028
Metta World,6.4,2.3,0.8,0.4,6.2,0.4,0.1,-0.065
Treveon Graham,7,2.1,0.8,0.2,10.6,0.2,0,0.108
Wayne Selden,17.2,5,1,1.1,6.2,0.4,0.1,-0.001
Cameron Payne,12.9,4.9,1.5,1.4,4,0.4,0,-0.087
Yogi Ferrell,15.1,5.4,1.2,1.7,6.5,0.2,0.2,-0.05
Quinn Cook,12.3,5.8,0.4,1.6,15.3,0.3,0,0.11
Briante Weber,12.2,3.8,1.7,1.2,12.5,0.7,0,0.081
A.J. Hammons,7.4,2.2,1.6,0.2,8.4,0,0.6,-0.001
Omri Casspi,17.1,3.5,1.5,0.8,7.3,1,0.2,0.027
Mike Scott,10.8,2.5,2.1,0.9,5.9,0.2,0.2,-0.014
Lance Stephenson,22,7.2,4,4.2,10.3,0.5,0.3,0.012
Norris Cole,9.6,3.3,0.8,1.1,5.4,0.6,0,-0.033
Chasson Randle,9.3,5.3,0.6,0.8,17.7,0.4,0.1,0.197
Anthony Morrow,9.7,4.6,0.2,0.7,16,0.2,0,0.19
Marshall Plumlee,8.1,1.9,2.4,0.5,10.9,0.2,0.2,0.048
Jarrod Uthoff,12.8,4.4,2.4,1,13.9,0.2,0.4,0.083
Tiago Splitter,9.5,4.9,2.8,0.5,15,0.1,0.1,0.072
Jordan Mickey,5.6,1.5,1.4,0.3,9.8,0.1,0.2,0.036
Jared Sullinger,10.7,3.4,2.5,0.3,5.6,0.4,0.1,-0.04
Christian Wood,8.2,2.7,2.2,0.2,15.1,0.2,0.5,0.125
Chris Mccullough,5.1,2.5,1.2,0.1,16.8,0.1,0.1,0.098
Pierre Jackson,10.5,4.4,1.1,2.4,13,0.3,0,0.021
Anthony Brown,15.9,3.8,2.9,0.7,5.9,0.6,0.1,-0.007
Hollis Thompson,21.2,3.8,3.1,1,4.7,0.7,0,0.007
Jerryd Bayless,23.7,11,4,4.3,8.7,0,0,-0.067
Nick Collison,6.4,1.6,1.5,0.6,12.8,0.1,0.1,0.144
Udonis Haslem,7.6,1.8,2.1,0.4,8.4,0.3,0.1,0.069
Miles Plumlee,13.4,2.4,3.2,0.2,9,0.5,0.3,0.087
Tim Quarterman,5,1.9,0.9,0.7,10.2,0.1,0.2,-0.044
Andrew Nicholson,11.1,3,2.7,0.3,5,0.5,0,-0.031
Mike Miller,7.5,1.4,1.9,1.1,7.8,0.1,0,0.021
Chris Andersen,9.5,2.3,2.6,0.4,11.6,0.4,0.6,0.102
Quinn Cook,15.4,5.4,0.6,2.4,6.9,0.2,0,-0.046
Reggie Williams,13.2,4.5,1,0.7,11.7,0.5,0,0.098
Joel Anthony,6.4,1.3,1.6,0.2,11.6,0.1,0.3,0.141
Ryan Kelly,6.9,1.6,1.1,0.5,7.8,0.3,0.3,0.029
Jarell Eddie,12.4,4.8,1.4,0,9.7,0.2,0,0.054
Daniel Ochefu,3.9,1.3,1.2,0.2,6.6,0.1,0,0.005
Stephen Zimmerman,5.7,1.2,1.8,0.2,7.3,0.1,0.3,-0.005
Joel Bolomboy,4.4,1.8,1.4,0.2,19.7,0.1,0.2,0.171
C.J. Wilcox,4.9,1,0.5,0.5,2.9,0.1,0,-0.09
Lance Stephenson,11.2,3.5,1.7,0.8,6.6,0,0,-0.045
Georges Niang,4,0.9,0.7,0.2,0.1,0.1,0,-0.168
Johnny O'Bryant,6.6,2.9,1.6,0.3,14.4,0,0.1,0.096
Gary Payton,16.5,3.3,2,2.2,4.5,0.5,0.7,-0.074
Damian Jones,8.5,1.9,2.3,0,5.3,0.1,0.4,0.018
Johnny O'Bryant,8.5,4.5,2,1,15.5,0,0,0.078
Anderson Varejao,6.6,1.3,1.9,0.7,9.4,0.2,0.2,0.097
Wayne Selden,15.7,5.3,1.7,0.3,10,0.7,0,0.089
Jerami Grant,20.5,8,3.5,0,3.3,0,2,-0.14
Archie Goodwin,10,5,0,0.3,19.7,0,0.3,0.291
Ersan Ilyasova,20.7,5,5.3,0.3,6.9,1,0.3,0.012
Josh Huestis,15.5,7,4.5,1.5,26.1,0,1.5,0.265
Marcus Georges-Hunt,9.6,2.8,1.8,0.6,10.2,0.2,0,0.107
Bruno Caboclo,4.4,1.6,1.1,0.4,14.6,0.2,0.1,0.083
Chinanu Onuaku,10.4,2.8,2,0.6,12.3,0.6,0.2,0.123
Ronnie Price,9.6,1,0.8,1.3,5.9,0.8,0.1,0.002
Kyle Wiltjer,3.1,0.9,0.7,0.1,6.7,0.2,0.1,-0.039
Quincy Acy,8,2.2,1.3,0,-1.4,0,0,-0.133
Omri Casspi,24,12,2,0,10,0,0,0.015
Jordan Farmar,17.5,6,1.5,4.5,14.4,1,0,0.064
Justin Harper,10.3,4,1.7,0.7,4.9,0,0,-0.103
Jordan Hill,6.7,1.7,2,0,5.5,0.1,0,-0.033
Briante Weber,6.6,1.7,0.6,0.7,5.9,0.4,0.1,-0.018
Axel Toupane,20.5,5.5,0.5,0,8.6,0.5,0.5,0.098
Alonzo Gee,6.8,0.8,1.2,0.5,3.1,0.4,0.1,-0.032
Demetrius Jackson,3.4,2,0.8,0.6,30.8,0,0,0.386
Diamond Stone,3.4,1.4,0.9,0,-1.2,0,0.1,-0.211
Lamar Patterson,8,1.8,1.4,1.2,-1.9,0.2,0,-0.176
Dahntay Jones,12,9,2,1,14.7,0,0,-0.03
Anthony Brown,8,4.5,3.5,1,18.5,0,0,0.076
Manny Harris,6.3,2,2.3,0.5,-2.2,0,0,-0.364
Deandre Liggins,25,8,7,0,17.6,2,0,0.194
Greivis Vasquez,13,2.3,0.7,1.7,4.1,0.3,0.3,-0.006
John Jenkins,3.3,1.8,0.3,0.3,17.3,0,0,0.167
Jarrett Jack,16.5,3,0,2.5,7.7,1,0,0.06
Edy Tavares,24,6,10,1,22.6,0,6,0.183
Steve Novak,2.8,0.6,0.4,0,1.3,0,0,-0.075
Arinze Onuaku,3.5,0.5,0.8,0.3,5.8,0,0.1,-0.005
Gary Neal,9,2,0.5,0.5,-4.3,0,0,-0.189
Larry Sanders,2.6,0.8,0.8,0,6.5,0.2,0.2,-0.029
Brice Johnson,3,1.3,1,0.3,17.2,0.7,0.3,-0.164
Roy Hibbert,1.8,0.7,0.3,0.2,16.3,0,0.3,0.118
Michael Gbinije,3.6,0.4,0.3,0.2,-2.1,0,0,-0.136
Jarnell Stokes,3.5,1.5,1,1,31.5,0.5,0,0.48
Isaiah Taylor,13,0.8,0.8,0.8,0.3,0.3,0.3,-0.028
Elijah Millsap,11.5,1.5,3,0.5,-3.4,0,0,-0.233
Mike Tobey,12.5,1,1.5,0.5,-0.1,0,0,-0.07
Edy Tavares,4,2,1,0,13.1,0,0,-0.047
Chris Mccullough,4,0.5,1,0,1.1,0.5,0,-0.163
Aaron Harrison,3.4,0.2,0.6,0.6,-2.2,0,0,-0.146
Patricio Garino,8.6,0,1.4,0,-9.2,0,0,-0.25
Terrence Jones,2,0,1,0,1.5,0.3,0.3,-0.312
R.J. Hunter,3,0,0.3,0,-3.2,0,0,-0.088
Danuel House,1,0,1,0,12.2,0,0,0.163
Andrew Bogut,1,0,0,0,-35.3,0,0,0.02
Ben Bentil,3.3,0,0.7,0,-17.6,0,0,-0.473
Axel Toupane,3,0,0,0,-9.9,0,0,-0.191
